,site,latitude,longitude,site_area,year_of_origin,site_shape,tree,species,angle,radius,year,has_any_damage,dead,snag,log,dbh,ba,height,crown_height,crown_width,category,site_type
15574,VA401,61.85789167,24.23838333,1600,1803,Circular,118,2,224,1945,2019,FALSE,FALSE,FALSE,FALSE,17.8930154,251.453076,NA,NA,NA,1,3
5260,VA401,61.85789167,24.23838333,1600,1803,Circular,119,1,218,1580,1993,FALSE,FALSE,NA,NA,25.7,518.7476329,NA,NA,NA,1,3
10299,VA401,61.85789167,24.23838333,1600,1803,Circular,119,1,218,1580,2006,FALSE,FALSE,NA,NA,26.58477008,555.080152,NA,NA,NA,1,3
15575,VA401,61.85789167,24.23838333,1600,1803,Circular,119,1,218,1580,2019,TRUE,TRUE,TRUE,FALSE,26.13618182,536.5054854,NA,NA,NA,3,3
5261,VA401,61.85789167,24.23838333,1600,1803,Circular,120,2,219,1515,1993,FALSE,FALSE,NA,NA,20.59393114,333.0952151,NA,NA,NA,1,3
10300,VA401,61.85789167,24.23838333,1600,1803,Circular,120,2,219,1515,2006,FALSE,FALSE,NA,NA,21.39626136,359.5552792,NA,NA,NA,1,3
15576,VA401,61.85789167,24.23838333,1600,1803,Circular,120,2,219,1515,2019,FALSE,FALSE,FALSE,FALSE,22.4432618,395.6050549,NA,NA,NA,1,3
5262,VA401,61.85789167,24.23838333,1600,1803,Circular,121,1,215,1350,1993,FALSE,FALSE,NA,NA,36.79130332,1063.114954,276,185,NA,1,3
10301,VA401,61.85789167,24.23838333,1600,1803,Circular,121,1,215,1350,2006,FALSE,FALSE,NA,NA,39.38464168,1218.270361,294,195,NA,1,3
15577,VA401,61.85789167,24.23838333,1600,1803,Circular,121,1,215,1350,2019,FALSE,FALSE,FALSE,FALSE,41.7923438,1371.776432,297,218,197.5,1,3
5263,VA401,61.85789167,24.23838333,1600,1803,Circular,122,2,206,1465,1993,FALSE,FALSE,NA,NA,9.946858801,77.70729429,NA,NA,NA,1,3
10302,VA401,61.85789167,24.23838333,1600,1803,Circular,122,2,206,1465,2006,FALSE,FALSE,NA,NA,10.04689007,79.27809061,NA,NA,NA,1,3
15578,VA401,61.85789167,24.23838333,1600,1803,Circular,122,2,206,1465,2019,TRUE,TRUE,TRUE,FALSE,9.999484522,73.89025921,NA,NA,NA,3,3
5264,VA401,61.85789167,24.23838333,1600,1803,Circular,123,1,206,1310,1993,FALSE,FALSE,NA,NA,23.29914162,426.353393,NA,NA,NA,1,3
10303,VA401,61.85789167,24.23838333,1600,1803,Circular,123,1,206,1310,2006,FALSE,FALSE,NA,NA,23.39914528,430.0212024,NA,NA,NA,1,3
15579,VA401,61.85789167,24.23838333,1600,1803,Circular,123,1,206,1310,2019,TRUE,TRUE,TRUE,FALSE,23.04994577,417.2820442,NA,NA,NA,3,3
5265,VA401,61.85789167,24.23838333,1600,1803,Circular,124,2,205,1235,1993,FALSE,FALSE,NA,NA,23.9,448.6272849,NA,NA,NA,1,3
